Geography,medincomebystate,bingedrinkper,0.50020221
Alabama,26934,12,
Alaska,36843,20.2,
Arizona,29737,14.9,
Arkansas,26367,13.3,
California,31232,15.6,
Colorado,32379,17.5,
Connecticut,38443,15.9,
Delaware,32825,15.7,
District of Columbia,46000,24.9,
Florida,27250,15,
Georgia,29939,14.2,
Hawaii,33473,19.7,
Idaho,25145,14.8,
Illinois,31994,20.2,
Indiana,28977,14.8,
Iowa,30846,21.4,
Kansas,30384,15.8,
Kentucky,26828,12.7,
Louisiana,29486,16,
Maine,27813,17,
Maryland,40107,15.4,
Massachusetts,37702,17.4,
Michigan,28204,18.9,
Minnesota,33720,19.5,
Mississippi,26631,12.8,
Missouri,28875,15.1,
Montana,25614,18.9,
Nebraska,30041,20.3,
Nevada,30229,16,
New Hampshire,35231,16.8,
New Jersey,38893,15.8,
New Mexico,25736,13.7,
New York,34308,15,
North Carolina,28248,13.6,
North Dakota,32022,24,
Ohio,30134,18.1,
Oklahoma,28548,12.9,
Oregon,27367,16.6,
Pennsylvania,31524,16.7,
Rhode Island,31319,18.4,
South Carolina,26752,14.1,
South Dakota,29003,17.4,
Tennessee,26976,10.6,
Texas,30284,16.3,
Utah,27449,11.4,
Vermont,30277,17.9,
Virginia,35108,15.2,
Washington,33176,17.1,
West Virginia,27023,9.6,
Wisconsin,30618,22.1,
Wyoming,30822,17.2,
Puerto Rico,16669,13.2,